#weight	occ	cum	dcum	dCDF
7.7	320	41589006	5062	0.000121701
7.8	318	41589324	4742	0.000114008
7.9	281	41589605	4424	0.000106362
8	305	41589910	4143	9.96063e-05
8.1	289	41590199	3838	9.22735e-05
8.2	292	41590491	3549	8.53253e-05
8.3	260	41590751	3257	7.8305e-05
8.4	271	41591022	2997	7.20541e-05
8.5	223	41591245	2726	6.55387e-05
8.6	219	41591464	2503	6.01773e-05
8.7	203	41591667	2284	5.49121e-05
8.8	200	41591867	2081	5.00316e-05
8.9	223	41592090	1881	4.52231e-05
9	178	41592268	1658	3.98618e-05
9.1	169	41592437	1480	3.55823e-05
9.2	148	41592585	1311	3.15192e-05
9.3	150	41592735	1163	2.79609e-05
9.4	124	41592859	1013	2.43546e-05
9.5	96	41592955	889	2.13734e-05
9.6	112	41593067	793	1.90654e-05
9.7	102	41593169	681	1.63727e-05
9.8	81	41593250	579	1.39204e-05
9.9	89	41593339	498	1.1973e-05
10	66	41593405	409	9.83321e-06
10.1	54	41593459	343	8.24643e-06
10.2	53	41593512	289	6.94816e-06
10.3	39	41593551	236	5.67393e-06
10.4	47	41593598	197	4.73629e-06
10.5	24	41593622	150	3.60631e-06
10.6	29	41593651	126	3.0293e-06
10.7	21	41593672	97	2.33208e-06
10.8	12	41593684	76	1.8272e-06
10.9	11	41593695	64	1.53869e-06
11	12	41593707	53	1.27423e-06
11.1	10	41593717	41	9.85725e-07
11.2	3	41593720	31	7.45304e-07
11.3	4	41593724	28	6.73178e-07
11.4	7	41593731	24	5.7701e-07
11.5	3	41593734	17	4.08715e-07
11.6	5	41593739	14	3.36589e-07
11.7	5	41593744	9	2.16379e-07
11.8	1	41593745	4	9.61683e-08
11.9	3	41593748	3	7.21262e-08
