#key	theor	matrix_sites_cv_loo	matrix_sites	sequence_set1	sequence_set1_2perm
-49.3	<NULL>	<NULL>	<NULL>	<NULL>	      1
-49.2	<NULL>	<NULL>	<NULL>	<NULL>	      1
-49.1	1.0e+00	<NULL>	<NULL>	<NULL>	      1
-31.9	7.9e-01	1.00000	1.00000	0.802436	0.797885
-31.8	7.9e-01	1.00000	1.00000	0.799074	0.794738
-31.7	7.9e-01	1.00000	1.00000	0.795638	0.791527
-31.6	7.8e-01	1.00000	1.00000	0.792134	0.788219
-31.5	7.8e-01	1.00000	1.00000	0.788591	0.784854
-31.4	7.8e-01	1.00000	1.00000	0.784962	0.781405
-31.3	7.7e-01	1.00000	1.00000	0.781298	0.777867
-31.2	7.7e-01	1.00000	1.00000	0.777563	0.774281
-31.1	7.6e-01	1.00000	1.00000	0.77374	0.770625
-31	7.6e-01	1.00000	1.00000	0.769883	0.766905
-30.9	7.6e-01	1.00000	1.00000	0.765988	0.76311
-30.8	7.5e-01	1.00000	1.00000	0.762026	0.759239
-30.7	7.5e-01	1.00000	1.00000	0.75804	0.755308
-30.6	7.4e-01	1.00000	1.00000	0.753986	0.751271
-30.5	7.4e-01	1.00000	1.00000	0.749836	0.747228
-30.4	7.4e-01	1.00000	1.00000	0.745703	0.74309
-30.3	7.3e-01	1.00000	1.00000	0.741549	0.738921
-30.2	7.3e-01	1.00000	1.00000	0.737353	0.734655
-30.1	7.2e-01	1.00000	1.00000	0.73309	0.730368
-30	7.2e-01	1.00000	1.00000	0.728807	0.726017
-29.9	7.1e-01	1.00000	1.00000	0.724511	0.721622
-29.8	7.1e-01	1.00000	1.00000	0.720148	0.717161
-29.7	7.0e-01	1.00000	1.00000	0.715763	0.712641
-29.6	7.0e-01	1.00000	1.00000	0.71134	0.708089
-29.5	7.0e-01	1.00000	1.00000	0.706875	0.703491
-29.4	6.9e-01	1.00000	1.00000	0.702373	0.698816
-29.3	6.9e-01	1.00000	1.00000	0.697855	0.694116
-29.2	6.8e-01	1.00000	1.00000	0.693303	0.689353
-29.1	6.8e-01	1.00000	1.00000	0.688733	0.684543
-29	6.7e-01	1.00000	1.00000	0.684112	0.679715
-28.9	6.7e-01	1.00000	1.00000	0.67947	0.674872
-28.8	6.6e-01	1.00000	1.00000	0.674823	0.669984
-28.7	6.6e-01	1.00000	1.00000	0.670128	0.66509
-28.6	6.5e-01	1.00000	1.00000	0.665425	0.660134
-28.5	6.5e-01	1.00000	1.00000	0.660727	0.655209
-28.4	6.4e-01	1.00000	1.00000	0.656015	0.650281
-28.3	6.4e-01	1.00000	1.00000	0.651251	0.645372
-28.2	6.3e-01	1.00000	1.00000	0.646498	0.640471
-28.1	6.3e-01	1.00000	1.00000	0.641735	0.635617
-28	6.2e-01	1.00000	1.00000	0.636988	0.630785
-27.9	6.2e-01	1.00000	1.00000	0.632245	0.626015
-27.8	6.2e-01	1.00000	1.00000	0.627554	0.621289
-27.7	6.1e-01	1.00000	1.00000	0.62287	0.616597
-27.6	6.1e-01	1.00000	1.00000	0.618172	0.611966
-27.5	6.0e-01	1.00000	1.00000	0.613504	0.607406
-27.4	6.0e-01	1.00000	1.00000	0.608908	0.602903
-27.3	5.9e-01	1.00000	1.00000	0.604329	0.598496
