#key	theor	matrix_sites_cv_loo	matrix_sites	sequence_set1	sequence_set1_2perm
-51.4	<NULL>	<NULL>	<NULL>	<NULL>	      1
-51.3	<NULL>	<NULL>	<NULL>	<NULL>	      1
-51.2	<NULL>	<NULL>	<NULL>	<NULL>	      1
-51.1	<NULL>	<NULL>	<NULL>	<NULL>	      1
-36.3	9.2e-01	1.00000	1.00000	0.919635	0.929781
-36.2	9.2e-01	1.00000	1.00000	0.917881	0.92801
-36.1	9.1e-01	1.00000	1.00000	0.916087	0.926214
-36	9.1e-01	1.00000	1.00000	0.91433	0.924367
-35.9	9.1e-01	1.00000	1.00000	0.912576	0.922456
-35.8	9.1e-01	1.00000	1.00000	0.910762	0.920566
-35.7	9.1e-01	1.00000	1.00000	0.908916	0.918652
-35.6	9.0e-01	1.00000	1.00000	0.907082	0.91673
-35.5	9.0e-01	1.00000	1.00000	0.905089	0.91481
-35.4	9.0e-01	1.00000	1.00000	0.903161	0.912853
-35.3	9.0e-01	1.00000	1.00000	0.901153	0.910873
-35.2	9.0e-01	1.00000	1.00000	0.899123	0.90888
-35.1	8.9e-01	1.00000	1.00000	0.897017	0.906897
-35	8.9e-01	1.00000	1.00000	0.8949	0.904863
-34.9	8.9e-01	1.00000	1.00000	0.892743	0.902802
-34.8	8.9e-01	1.00000	1.00000	0.890621	0.90073
-34.7	8.8e-01	1.00000	1.00000	0.888448	0.898651
-34.6	8.8e-01	1.00000	1.00000	0.886217	0.896521
-34.5	8.8e-01	1.00000	1.00000	0.883953	0.894317
-34.4	8.8e-01	1.00000	1.00000	0.881695	0.892166
-34.3	8.8e-01	1.00000	1.00000	0.879392	0.889963
-34.2	8.7e-01	1.00000	1.00000	0.877033	0.887761
-34.1	8.7e-01	1.00000	1.00000	0.874624	0.885566
-34	8.7e-01	1.00000	1.00000	0.872218	0.883335
-33.9	8.7e-01	1.00000	1.00000	0.869793	0.881026
-33.8	8.6e-01	1.00000	1.00000	0.867387	0.878676
-33.7	8.6e-01	1.00000	1.00000	0.864901	0.876321
-33.6	8.6e-01	1.00000	1.00000	0.862367	0.873896
-33.5	8.6e-01	1.00000	1.00000	0.859885	0.871467
-33.4	8.5e-01	1.00000	1.00000	0.857346	0.869037
-33.3	8.5e-01	1.00000	1.00000	0.854813	0.866511
-33.2	8.5e-01	1.00000	1.00000	0.852299	0.864029
-33.1	8.5e-01	1.00000	1.00000	0.849736	0.861568
-33	8.4e-01	1.00000	1.00000	0.847168	0.859096
-32.9	8.4e-01	1.00000	1.00000	0.844521	0.856607
-32.8	8.4e-01	1.00000	1.00000	0.84186	0.854126
-32.7	8.3e-01	1.00000	1.00000	0.839131	0.851563
-32.6	8.3e-01	1.00000	1.00000	0.836452	0.849012
-32.5	8.3e-01	1.00000	1.00000	0.833727	0.846407
-32.4	8.3e-01	1.00000	1.00000	0.830943	0.843771
-32.3	8.2e-01	1.00000	1.00000	0.828089	0.841071
-32.2	8.2e-01	1.00000	1.00000	0.825241	0.838316
-32.1	8.2e-01	1.00000	1.00000	0.82238	0.835535
-32	8.1e-01	1.00000	1.00000	0.819493	0.832659
-31.9	8.1e-01	1.00000	1.00000	0.816573	0.829704
-31.8	8.1e-01	1.00000	1.00000	0.813586	0.826769
-31.7	8.0e-01	1.00000	1.00000	0.810567	0.823707
-31.6	8.0e-01	1.00000	1.00000	0.807442	0.82061
-31.5	8.0e-01	1.00000	1.00000	0.804308	0.817436
-31.4	7.9e-01	1.00000	1.00000	0.801127	0.814153
-31.3	7.9e-01	1.00000	1.00000	0.796587	0.810824
-31.2	7.9e-01	1.00000	1.00000	0.793276	0.806139
-31.1	7.8e-01	1.00000	1.00000	0.789664	0.802657
-31	7.8e-01	1.00000	1.00000	0.786267	0.798999
-30.9	7.8e-01	1.00000	1.00000	0.782741	0.795378
-30.8	7.7e-01	1.00000	1.00000	0.77922	0.791815
-30.7	7.7e-01	1.00000	1.00000	0.775606	0.788057
-30.6	7.7e-01	1.00000	1.00000	0.771962	0.784333
-30.5	7.6e-01	1.00000	1.00000	0.768226	0.780624
-30.4	7.6e-01	1.00000	1.00000	0.764541	0.776855
-30.3	7.5e-01	1.00000	1.00000	0.760777	0.773024
-30.2	7.5e-01	1.00000	1.00000	0.757011	0.769248
-30.1	7.5e-01	1.00000	1.00000	0.753086	0.765286
-30	7.4e-01	1.00000	1.00000	0.749223	0.761357
-29.9	7.4e-01	1.00000	1.00000	0.745445	0.757359
-29.8	7.3e-01	1.00000	1.00000	0.741652	0.753356
-29.7	7.3e-01	1.00000	1.00000	0.73782	0.74937
-29.6	7.3e-01	1.00000	1.00000	0.733807	0.745323
-29.5	7.2e-01	1.00000	1.00000	0.72993	0.741269
-29.4	7.2e-01	1.00000	1.00000	0.72608	0.737264
-29.3	7.1e-01	1.00000	1.00000	0.722135	0.733148
-29.2	7.1e-01	1.00000	1.00000	0.718292	0.729071
-29.1	7.0e-01	1.00000	1.00000	0.714433	0.724926
-29	7.0e-01	1.00000	1.00000	0.710579	0.720769
-28.9	7.0e-01	1.00000	1.00000	0.706658	0.716574
-28.8	6.9e-01	1.00000	1.00000	0.702699	0.712346
-28.7	6.9e-01	1.00000	1.00000	0.698867	0.708172
-28.6	6.8e-01	1.00000	1.00000	0.695048	0.703924
-28.5	6.8e-01	1.00000	1.00000	0.691211	0.699728
-28.4	6.8e-01	1.00000	1.00000	0.687303	0.695526
-28.3	6.7e-01	1.00000	1.00000	0.683411	0.691346
