#score	occ	co	cco	dCDF
-12.9	146683	10263091	10533783	0.506508
-12.8	147853	10410944	10385930	0.499399
-12.7	147051	10557995	10238879	0.492328
-12.6	145835	10703830	10093044	0.485315
-12.5	145461	10849291	9947583	0.478321
-12.4	146289	10995580	9801294	0.471287
-12.3	145336	11140916	9655958	0.464299
-12.2	145721	11286637	9510237	0.457292
-12.1	145581	11432218	9364656	0.450292
-12	143817	11576035	9220839	0.443376
-11.9	143949	11719984	9076890	0.436455
-11.8	142251	11862235	8934639	0.429615
-11.7	143652	12005887	8790987	0.422707
-11.6	142678	12148565	8648309	0.415847
-11.5	141673	12290238	8506636	0.409034
-11.4	143338	12433576	8363298	0.402142
-11.3	140645	12574221	8222653	0.395379
-11.2	138559	12712780	8084094	0.388717
-11.1	138912	12851692	7945182	0.382037
-11	137589	12989281	7807593	0.375421
-10.9	137280	13126561	7670313	0.36882
-10.8	136208	13262769	7534105	0.362271
-10.7	135952	13398721	7398153	0.355734
-10.6	134519	13533240	7263634	0.349266
-10.5	132315	13665555	7131319	0.342903
-10.4	131145	13796700	7000174	0.336597
-10.3	131709	13928409	6868465	0.330264
-10.2	130805	14059214	6737660	0.323975
-10.1	128336	14187550	6609324	0.317804
-10	128119	14315669	6481205	0.311643
-9.9	127166	14442835	6354039	0.305529
-9.8	125059	14567894	6228980	0.299515
-9.7	123386	14691280	6105594	0.293582
-9.6	122693	14813973	5982901	0.287683
-9.5	121895	14935868	5861006	0.281821
-9.4	120829	15056697	5740177	0.276012
-9.3	121136	15177833	5619041	0.270187
-9.2	116997	15294830	5502044	0.264561
-9.1	116747	15411577	5385297	0.258947
-9	114978	15526555	5270319	0.253419
-8.9	114487	15641042	5155832	0.247914
-8.8	112461	15753503	5043371	0.242506
-8.7	111704	15865207	4931667	0.237135
-8.6	109081	15974288	4822586	0.23189
-8.5	108349	16082637	4714237	0.22668
-8.4	106997	16189634	4607240	0.221535
-8.3	105453	16295087	4501787	0.216465
-8.2	104451	16399538	4397336	0.211442
-8.1	103853	16503391	4293483	0.206448
-8	100698	16604089	4192785	0.201607
-7.9	99389	16703478	4093396	0.196827
-7.8	98279	16801757	3995117	0.192102
-7.7	96510	16898267	3898607	0.187461
-7.6	95688	16993955	3802919	0.18286
-7.5	93188	17087143	3709731	0.178379
-7.4	91905	17179048	3617826	0.17396
-7.3	90938	17269986	3526888	0.169587
-7.2	88856	17358842	3438032	0.165315
-7.1	88117	17446959	3349915	0.161078
-7	86097	17533056	3263818	0.156938
-6.9	85212	17618268	3178606	0.152841
-6.8	83118	17701386	3095488	0.148844
-6.7	82356	17783742	3013132	0.144884
-6.6	81069	17864811	2932063	0.140986
-6.5	78704	17943515	2853359	0.137201
-6.4	77368	18020883	2775991	0.133481
-6.3	76831	18097714	2699160	0.129787
-6.2	74194	18171908	2624966	0.126219
-6.1	72408	18244316	2552558	0.122738
-6	71685	18316001	2480873	0.119291
-5.9	69784	18385785	2411089	0.115935
-5.8	68504	18454289	2342585	0.112641
-5.7	67574	18521863	2275011	0.109392
-5.6	65666	18587529	2209345	0.106234
-5.5	64423	18651952	2144922	0.103137
-5.4	63397	18715349	2081525	0.100088
-5.3	61563	18776912	2019962	0.0971282
-5.2	60239	18837151	1959723	0.0942316
-5.1	59070	18896221	1900653	0.0913913
-5	57969	18954190	1842684	0.0886039
-4.9	56931	19011121	1785753	0.0858664
-4.8	54618	19065739	1731135	0.0832402
-4.7	53889	19119628	1677246	0.0806489
-4.6	52447	19172075	1624799	0.0781271
-4.5	50999	19223074	1573800	0.0756748
-4.4	50372	19273446	1523428	0.0732527
-4.3	49047	19322493	1474381	0.0708944
-4.2	48209	19370702	1426172	0.0685763
-4.1	46722	19417424	1379450	0.0663297
-4	45699	19463123	1333751	0.0641323
-3.9	43921	19507044	1289830	0.0620204
-3.8	42971	19550015	1246859	0.0599542
-3.7	41919	19591934	1204940	0.0579385
-3.6	40668	19632602	1164272	0.055983
-3.5	39830	19672432	1124442	0.0540678
-3.4	38265	19710697	1086177	0.0522279
-3.3	37262	19747959	1048915	0.0504362
-3.2	36315	19784274	1012600	0.04869
-3.1	35624	19819898	976976	0.0469771
-3	34179	19854077	942797	0.0453336
-2.9	33793	19887870	909004	0.0437087
-2.8	32320	19920190	876684	0.0421546
-2.7	31527	19951717	845157	0.0406387
-2.6	30691	19982408	814466	0.0391629
-2.5	29702	20012110	784764	0.0377347
-2.4	29366	20041476	755398	0.0363227
-2.3	28149	20069625	727249	0.0349691
-2.2	27392	20097017	699857	0.033652
-2.1	26527	20123544	673330	0.0323765
-2	25468	20149012	647862	0.0311519
-1.9	24784	20173796	623078	0.0299602
-1.8	23937	20197733	599141	0.0288092
-1.7	23677	20221410	575464	0.0276707
-1.6	22570	20243980	552894	0.0265854
-1.5	21964	20265944	530930	0.0255293
-1.4	21204	20287148	509726	0.0245097
-1.3	20503	20307651	489223	0.0235239
-1.2	19597	20327248	469626	0.0225816
-1.1	19278	20346526	450348	0.0216546
-1	18454	20364980	431894	0.0207673
-0.9	17834	20382814	414060	0.0199097
-0.8	17140	20399954	396920	0.0190856
-0.7	16528	20416482	380392	0.0182908
-0.6	15945	20432427	364447	0.0175241
-0.5	15324	20447751	349123	0.0167873
-0.4	14687	20462438	334436	0.0160811
-0.3	14221	20476659	320215	0.0153973
-0.2	13821	20490480	306394	0.0147327
-0.1	13168	20503648	293226	0.0140995
0	12477	20516125	280749	0.0134996
0.1	12383	20528508	268366	0.0129042
0.2	11741	20540249	256625	0.0123396
0.3	11338	20551587	245287	0.0117944
0.4	11072	20562659	234215	0.011262
0.5	10320	20572979	223895	0.0107658
0.6	10122	20583101	213773	0.0102791
0.7	9703	20592804	204070	0.00981253
0.8	9404	20602208	194666	0.00936035
0.9	8959	20611167	185707	0.00892956
1	8376	20619543	177331	0.00852681
1.1	8274	20627817	169057	0.00812896
1.2	7931	20635748	161126	0.00774761
1.3	7623	20643371	153503	0.00738106
1.4	7250	20650621	146253	0.00703245
1.5	6989	20657610	139264	0.00669639
1.6	6684	20664294	132580	0.006375
1.7	6263	20670557	126317	0.00607385
1.8	6006	20676563	120311	0.00578505
1.9	5752	20682315	114559	0.00550847
2	5610	20687925	108949	0.00523872
2.1	5270	20693195	103679	0.00498532
2.2	4942	20698137	98737	0.00474768
2.3	4903	20703040	93834	0.00451193
2.4	4624	20707664	89210	0.00428959
2.5	4306	20711970	84904	0.00408254
2.6	4234	20716204	80670	0.00387895
2.7	4052	20720256	76618	0.00368411
2.8	3830	20724086	72788	0.00349995
2.9	3763	20727849	69025	0.00331901
3	3531	20731380	65494	0.00314922
3.1	3466	20734846	62028	0.00298256
3.2	3229	20738075	58799	0.0028273
3.3	3051	20741126	55748	0.0026806
3.4	2952	20744078	52796	0.00253865
3.5	2728	20746806	50068	0.00240748
3.6	2645	20749451	47423	0.00228029
3.7	2525	20751976	44898	0.00215888
3.8	2425	20754401	42473	0.00204228
3.9	2160	20756561	40313	0.00193842
4	2158	20758719	38155	0.00183465
4.1	2022	20760741	36133	0.00173742
4.2	1859	20762600	34274	0.00164804
4.3	1768	20764368	32506	0.00156302
4.4	1654	20766022	30852	0.00148349
4.5	1678	20767700	29174	0.00140281
4.6	1569	20769269	27605	0.00132736
4.7	1416	20770685	26189	0.00125928
4.8	1419	20772104	24770	0.00119104
4.9	1262	20773366	23508	0.00113036
5	1290	20774656	22218	0.00106833
5.1	1204	20775860	21014	0.00101044
5.2	1183	20777043	19831	0.000953557
5.3	1063	20778106	18768	0.000902443
5.4	1015	20779121	17753	0.000853638
5.5	974	20780095	16779	0.000806804
5.6	872	20780967	15907	0.000764875
5.7	866	20781833	15041	0.000723234
5.8	786	20782619	14255	0.00068544
5.9	763	20783382	13492	0.000648751
6	765	20784147	12727	0.000611967
6.1	751	20784898	11976	0.000575856
6.2	651	20785549	11325	0.000544553
6.3	634	20786183	10691	0.000514068
6.4	583	20786766	10108	0.000486035
6.5	585	20787351	9523	0.000457905
6.6	570	20787921	8953	0.000430497
6.7	527	20788448	8426	0.000405157
6.8	547	20788995	7879	0.000378855
6.9	466	20789461	7413	0.000356448
7	449	20789910	6964	0.000334858
7.1	474	20790384	6490	0.000312066
7.2	403	20790787	6087	0.000292688
7.3	400	20791187	5687	0.000273455
7.4	380	20791567	5307	0.000255183
7.5	335	20791902	4972	0.000239074
7.6	357	20792259	4615	0.000221908
7.7	332	20792591	4283	0.000205944
7.8	311	20792902	3972	0.00019099
7.9	301	20793203	3671	0.000176517
8	265	20793468	3406	0.000163775
8.1	269	20793737	3137	0.00015084
8.2	215	20793952	2922	0.000140502
8.3	239	20794191	2683	0.00012901
8.4	194	20794385	2489	0.000119681
8.5	196	20794581	2293	0.000110257
8.6	192	20794773	2101	0.000101025
8.7	180	20794953	1921	9.23697E-05
8.8	165	20795118	1756	8.44358E-05
8.9	131	20795249	1625	7.81367E-05
9	144	20795393	1481	7.12126E-05
9.1	134	20795527	1347	6.47693E-05
9.2	132	20795659	1215	5.84222E-05
9.3	110	20795769	1105	5.3133E-05
9.4	102	20795871	1003	4.82284E-05
9.5	115	20795986	888	4.26987E-05
9.6	81	20796067	807	3.88039E-05
9.7	82	20796149	725	3.4861E-05
9.8	79	20796228	646	3.10624E-05
9.9	68	20796296	578	2.77926E-05
10	67	20796363	511	2.4571E-05
10.1	74	20796437	437	2.10128E-05
10.2	59	20796496	378	1.81758E-05
10.3	61	20796557	317	1.52427E-05
10.4	30	20796587	287	1.38002E-05
10.5	44	20796631	243	1.16844E-05
10.6	48	20796679	195	9.37641E-06
10.7	28	20796707	167	8.03005E-06
10.8	28	20796735	139	6.6837E-06
10.9	19	20796754	120	5.7701E-06
11	24	20796778	96	4.61608E-06
11.1	21	20796799	75	3.60631E-06
11.2	22	20796821	53	2.54846E-06
11.3	15	20796836	38	1.8272E-06
11.4	9	20796845	29	1.39444E-06
11.5	6	20796851	23	1.10594E-06
11.6	3	20796854	20	9.61683E-07
11.7	8	20796862	12	5.7701E-07
11.8	1	20796863	11	5.28926E-07
11.9	4	20796867	7	3.36589E-07
12	2	20796869	5	2.40421E-07
12.1	0	20796869	5	2.40421E-07
12.2	4	20796873	1	4.80841E-08
12.3	0	20796873	1	4.80841E-08
12.4	0	20796873	1	4.80841E-08
12.5	0	20796873	1	4.80841E-08
12.6	0	20796873	1	4.80841E-08
12.7	1	20796874	0	0
