; matrix-distrib  -v 1 -m $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do562plusdo732_mmus_hnf4a_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do562plusdo732_mmus_hnf4a_liver_meme_top_m1_matrix.tab -matrix_format tab -pseudo 1 -bgfile $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/matrix-quality_2014-09-05.2358412nt_upstream-noorf_Canis_familiaris_EnsEMBL-ovlp-1str.freq.gz_inclusive.tab -bg_format inclusive -bg_pseudo 0.01 -decimals 1 -o $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do562plusdo732_mmus_hnf4a_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do562plusdo732_mmus_hnf4a_liver_meme_top_m1_theor_score_distrib.tab
; Input files
;	bgfile	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/matrix-quality_2014-09-05.2358412nt_upstream-noorf_Canis_familiaris_EnsEMBL-ovlp-1str.freq.gz_inclusive.tab
; Output files
;	output	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do562plusdo732_mmus_hnf4a_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do562plusdo732_mmus_hnf4a_liver_meme_top_m1_theor_score_distrib.tab
; Background model
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.26457
;		c	0.23303
;		g	0.23983
;		t	0.26257
;
; Matrix: matrix-quality_2014-09-05
;
; Theoretical distribution of weight probabilities
;	1	weight      	log-likelihood score: w=P(S|M)/P(S|B)
;	2	proba       	probability density function: P(W=w)
;	3	cum         	cumulative density function: P(W <= w)
;	4	Pval        	P-value = inverse cumulative density function: Pval = P(W >= w)
;	5	ln_Pval     	natural logarithm of the P-value
;	6	log_P       	base 10 logarithm of the P-value
;	7	sig         	significance: sig = -log10(Pval)
#weight	proba	cum	Pval	ln_Pval	log_P	sig
-23.0	1.1e-03	2.5e-02	9.8e-01	-0.024	-0.011	0.011
-22.9	1.4e-03	2.7e-02	9.7e-01	-0.025	-0.011	0.011
-22.8	1.3e-03	2.8e-02	9.7e-01	-0.027	-0.012	0.012
-22.7	1.2e-03	2.9e-02	9.7e-01	-0.028	-0.012	0.012
-22.6	1.5e-03	3.1e-02	9.7e-01	-0.029	-0.013	0.013
-22.5	1.3e-03	3.2e-02	9.7e-01	-0.031	-0.013	0.013
-22.4	1.6e-03	3.3e-02	9.7e-01	-0.032	-0.014	0.014
-22.3	1.4e-03	3.5e-02	9.7e-01	-0.034	-0.015	0.015
-22.2	1.6e-03	3.6e-02	9.7e-01	-0.035	-0.015	0.015
-22.1	1.8e-03	3.8e-02	9.6e-01	-0.037	-0.016	0.016
-22.0	1.5e-03	4.0e-02	9.6e-01	-0.039	-0.017	0.017
-21.9	1.9e-03	4.2e-02	9.6e-01	-0.041	-0.018	0.018
-21.8	1.8e-03	4.4e-02	9.6e-01	-0.043	-0.019	0.019
-21.7	1.7e-03	4.5e-02	9.6e-01	-0.045	-0.019	0.019
-21.6	2.1e-03	4.7e-02	9.5e-01	-0.046	-0.02	0.020
-21.5	1.8e-03	4.9e-02	9.5e-01	-0.049	-0.021	0.021
-21.4	2.3e-03	5.1e-02	9.5e-01	-0.050	-0.022	0.022
-21.3	1.9e-03	5.3e-02	9.5e-01	-0.053	-0.023	0.023
-21.2	2.2e-03	5.6e-02	9.5e-01	-0.055	-0.024	0.024
-21.1	2.5e-03	5.8e-02	9.4e-01	-0.057	-0.025	0.025
-21.0	2.1e-03	6.0e-02	9.4e-01	-0.060	-0.026	0.026
-20.9	2.6e-03	6.3e-02	9.4e-01	-0.062	-0.027	0.027
-20.8	2.4e-03	6.5e-02	9.4e-01	-0.065	-0.028	0.028
-20.7	2.3e-03	6.7e-02	9.3e-01	-0.067	-0.029	0.029
-20.6	2.8e-03	7.0e-02	9.3e-01	-0.070	-0.03	0.030
-20.5	2.4e-03	7.3e-02	9.3e-01	-0.073	-0.032	0.032
-20.4	3.0e-03	7.6e-02	9.3e-01	-0.075	-0.033	0.033
-20.3	2.5e-03	7.8e-02	9.2e-01	-0.079	-0.034	0.034
-20.2	2.9e-03	8.1e-02	9.2e-01	-0.081	-0.035	0.035
-20.1	3.2e-03	8.4e-02	9.2e-01	-0.085	-0.037	0.037
-20.0	2.7e-03	8.7e-02	9.2e-01	-0.088	-0.038	0.038
-19.9	3.4e-03	9.0e-02	9.1e-01	-0.091	-0.04	0.040
-19.8	3.2e-03	9.4e-02	9.1e-01	-0.095	-0.041	0.041
-19.7	2.9e-03	9.6e-02	9.1e-01	-0.098	-0.043	0.043
-19.6	3.6e-03	1.0e-01	9.0e-01	-0.101	-0.044	0.044
-19.5	3.0e-03	1.0e-01	9.0e-01	-0.106	-0.046	0.046
-19.4	3.8e-03	1.1e-01	9.0e-01	-0.109	-0.047	0.047
-19.3	3.2e-03	1.1e-01	8.9e-01	-0.113	-0.049	0.049
-19.2	3.6e-03	1.1e-01	8.9e-01	-0.117	-0.051	0.051
-19.1	4.1e-03	1.2e-01	8.9e-01	-0.121	-0.052	0.052
-19.0	3.4e-03	1.2e-01	8.8e-01	-0.125	-0.054	0.054
-18.9	4.2e-03	1.3e-01	8.8e-01	-0.129	-0.056	0.056
-18.8	3.9e-03	1.3e-01	8.7e-01	-0.134	-0.058	0.058
-18.7	3.6e-03	1.3e-01	8.7e-01	-0.139	-0.06	0.060
-18.6	4.5e-03	1.4e-01	8.7e-01	-0.143	-0.062	0.062
-18.5	3.7e-03	1.4e-01	8.6e-01	-0.148	-0.064	0.064
-18.4	4.7e-03	1.5e-01	8.6e-01	-0.152	-0.066	0.066
-18.3	3.9e-03	1.5e-01	8.5e-01	-0.158	-0.068	0.068
-18.2	4.4e-03	1.5e-01	8.5e-01	-0.162	-0.07	0.070
-18.1	4.9e-03	1.6e-01	8.5e-01	-0.167	-0.073	0.073
-18.0	4.1e-03	1.6e-01	8.4e-01	-0.173	-0.075	0.075
-17.9	5.1e-03	1.7e-01	8.4e-01	-0.178	-0.077	0.077
-17.8	4.7e-03	1.7e-01	8.3e-01	-0.184	-0.08	0.080
-17.7	4.3e-03	1.8e-01	8.3e-01	-0.190	-0.082	0.082
-17.6	5.3e-03	1.8e-01	8.2e-01	-0.195	-0.085	0.085
-17.5	4.4e-03	1.9e-01	8.2e-01	-0.201	-0.087	0.087
-17.4	5.5e-03	1.9e-01	8.1e-01	-0.207	-0.09	0.090
-17.3	4.6e-03	2.0e-01	8.1e-01	-0.214	-0.093	0.093
-17.2	5.1e-03	2.0e-01	8.0e-01	-0.219	-0.095	0.095
-17.1	5.7e-03	2.1e-01	8.0e-01	-0.226	-0.098	0.098
-17.0	4.8e-03	2.1e-01	7.9e-01	-0.233	-0.101	0.101
-16.9	5.9e-03	2.2e-01	7.9e-01	-0.239	-0.104	0.104
-16.8	5.4e-03	2.2e-01	7.8e-01	-0.246	-0.107	0.107
-16.7	4.9e-03	2.3e-01	7.8e-01	-0.253	-0.11	0.110
-16.6	6.1e-03	2.3e-01	7.7e-01	-0.260	-0.113	0.113
-16.5	5.0e-03	2.4e-01	7.7e-01	-0.268	-0.116	0.116
-16.4	6.3e-03	2.5e-01	7.6e-01	-0.274	-0.119	0.119
-16.3	5.2e-03	2.5e-01	7.5e-01	-0.283	-0.123	0.123
-16.2	5.8e-03	2.6e-01	7.5e-01	-0.289	-0.126	0.126
-16.1	6.5e-03	2.6e-01	7.4e-01	-0.297	-0.129	0.129
-16.0	5.3e-03	2.7e-01	7.4e-01	-0.306	-0.133	0.133
-15.9	6.0e-03	2.7e-01	7.3e-01	-0.313	-0.136	0.136
-15.8	6.7e-03	2.8e-01	7.3e-01	-0.321	-0.14	0.140
-15.7	6.1e-03	2.9e-01	7.2e-01	-0.331	-0.144	0.144
-15.6	6.2e-03	2.9e-01	7.1e-01	-0.339	-0.147	0.147
-15.5	5.6e-03	3.0e-01	7.1e-01	-0.348	-0.151	0.151
-15.4	6.3e-03	3.1e-01	7.0e-01	-0.356	-0.155	0.155
-15.3	6.3e-03	3.1e-01	6.9e-01	-0.365	-0.158	0.158
-15.2	7.0e-03	3.2e-01	6.9e-01	-0.374	-0.162	0.162
-15.1	6.4e-03	3.3e-01	6.8e-01	-0.384	-0.167	0.167
-15.0	5.8e-03	3.3e-01	6.7e-01	-0.394	-0.171	0.171
-14.9	6.5e-03	3.4e-01	6.7e-01	-0.402	-0.175	0.175
-14.8	7.2e-03	3.4e-01	6.6e-01	-0.412	-0.179	0.179
-14.7	6.6e-03	3.5e-01	6.6e-01	-0.423	-0.184	0.184
-14.6	6.6e-03	3.6e-01	6.5e-01	-0.433	-0.188	0.188
-14.5	6.0e-03	3.6e-01	6.4e-01	-0.443	-0.193	0.193
-14.4	6.7e-03	3.7e-01	6.4e-01	-0.453	-0.197	0.197
-14.3	6.7e-03	3.8e-01	6.3e-01	-0.463	-0.201	0.201
-14.2	7.4e-03	3.8e-01	6.2e-01	-0.474	-0.206	0.206
-14.1	6.8e-03	3.9e-01	6.2e-01	-0.486	-0.211	0.211
-14.0	6.1e-03	4.0e-01	6.1e-01	-0.497	-0.216	0.216
-13.9	6.8e-03	4.0e-01	6.0e-01	-0.507	-0.22	0.220
-13.8	7.5e-03	4.1e-01	6.0e-01	-0.519	-0.225	0.225
-13.7	6.9e-03	4.2e-01	5.9e-01	-0.532	-0.231	0.231
-13.6	6.9e-03	4.3e-01	5.8e-01	-0.543	-0.236	0.236
-13.5	6.2e-03	4.3e-01	5.7e-01	-0.555	-0.241	0.241
-13.4	6.9e-03	4.4e-01	5.7e-01	-0.566	-0.246	0.246
-13.3	6.9e-03	4.5e-01	5.6e-01	-0.578	-0.251	0.251
-13.2	7.7e-03	4.5e-01	5.5e-01	-0.591	-0.257	0.257
-13.1	7.0e-03	4.6e-01	5.5e-01	-0.605	-0.263	0.263
-13.0	6.3e-03	4.7e-01	5.4e-01	-0.618	-0.268	0.268
-12.9	7.0e-03	4.7e-01	5.3e-01	-0.629	-0.273	0.273
-12.8	7.7e-03	4.8e-01	5.3e-01	-0.643	-0.279	0.279
-12.7	7.0e-03	4.9e-01	5.2e-01	-0.657	-0.285	0.285
-12.6	7.0e-03	5.0e-01	5.1e-01	-0.671	-0.291	0.291
-12.5	6.3e-03	5.0e-01	5.0e-01	-0.685	-0.297	0.297
-12.4	7.0e-03	5.1e-01	5.0e-01	-0.697	-0.303	0.303
