#score	occ	co	cco	dCDF
2.9	2672	20758629	38245	0.00183898
3	2510	20761139	35735	0.00171829
3.1	2328	20763467	33407	0.00160635
3.2	2083	20765550	31324	0.00150619
3.3	2023	20767573	29301	0.00140891
3.4	1906	20769479	27395	0.00131727
3.5	1784	20771263	25611	0.00123148
3.6	1647	20772910	23964	0.00115229
3.7	1630	20774540	22334	0.00107391
3.8	1537	20776077	20797	0.00100001
3.9	1412	20777489	19385	0.000932111
4	1358	20778847	18027	0.000866813
4.1	1212	20780059	16815	0.000808535
4.2	1203	20781262	15612	0.00075069
4.3	1070	20782332	14542	0.00069924
4.4	1037	20783369	13505	0.000649376
4.5	910	20784279	12595	0.00060562
4.6	897	20785176	11698	0.000562488
4.7	889	20786065	10809	0.000519742
4.8	772	20786837	10037	0.000482621
4.9	707	20787544	9330	0.000448625
5	707	20788251	8623	0.00041463
5.1	666	20788917	7957	0.000382606
5.2	637	20789554	7320	0.000351976
5.3	539	20790093	6781	0.000326059
5.4	516	20790609	6265	0.000301247
5.5	445	20791054	5820	0.00027985
5.6	495	20791549	5325	0.000256048
5.7	418	20791967	4907	0.000235949
5.8	399	20792366	4508	0.000216763
5.9	363	20792729	4145	0.000199309
6	329	20793058	3816	0.000183489
6.1	324	20793382	3492	0.00016791
6.2	299	20793681	3193	0.000153533
6.3	260	20793941	2933	0.000141031
6.4	223	20794164	2710	0.000130308
6.5	245	20794409	2465	0.000118527
6.6	215	20794624	2250	0.000108189
6.7	186	20794810	2064	9.92457E-05
6.8	187	20794997	1877	9.02539E-05
6.9	159	20795156	1718	8.26086E-05
7	134	20795290	1584	7.61653E-05
7.1	158	20795448	1426	6.8568E-05
7.2	124	20795572	1302	6.26056E-05
7.3	136	20795708	1166	5.60661E-05
7.4	106	20795814	1060	5.09692E-05
7.5	112	20795926	948	4.55838E-05
7.6	97	20796023	851	4.09196E-05
7.7	78	20796101	773	3.7169E-05
7.8	87	20796188	686	3.29857E-05
7.9	73	20796261	613	2.94756E-05
8	52	20796313	561	2.69752E-05
8.1	51	20796364	510	2.45229E-05
8.2	46	20796410	464	2.2311E-05
8.3	55	20796465	409	1.96664E-05
8.4	38	20796503	371	1.78392E-05
8.5	34	20796537	337	1.62044E-05
8.6	36	20796573	301	1.44733E-05
8.7	24	20796597	277	1.33193E-05
8.8	36	20796633	241	1.15883E-05
8.9	32	20796665	209	1.00496E-05
9	23	20796688	186	8.94365E-06
9.1	17	20796705	169	8.12622E-06
9.2	13	20796718	156	7.50113E-06
9.3	17	20796735	139	6.6837E-06
9.4	12	20796747	127	6.10669E-06
9.5	5	20796752	122	5.86627E-06
9.6	12	20796764	110	5.28926E-06
9.7	18	20796782	92	4.42374E-06
9.8	11	20796793	81	3.89482E-06
9.9	9	20796802	72	3.46206E-06
10	12	20796814	60	2.88505E-06
10.1	5	20796819	55	2.64463E-06
10.2	7	20796826	48	2.30804E-06
10.3	4	20796830	44	2.1157E-06
10.4	9	20796839	35	1.68295E-06
10.5	2	20796841	33	1.58678E-06
10.6	7	20796848	26	1.25019E-06
10.7	3	20796851	23	1.10594E-06
10.8	2	20796853	21	1.00977E-06
10.9	4	20796857	17	8.17431E-07
11	3	20796860	14	6.73178E-07
11.1	1	20796861	13	6.25094E-07
11.2	5	20796866	8	3.84673E-07
11.3	0	20796866	8	3.84673E-07
11.4	2	20796868	6	2.88505E-07
11.5	0	20796868	6	2.88505E-07
11.6	0	20796868	6	2.88505E-07
11.7	2	20796870	4	1.92337E-07
11.8	0	20796870	4	1.92337E-07
11.9	1	20796871	3	1.44252E-07
12	0	20796871	3	1.44252E-07
12.1	2	20796873	1	4.80841E-08
12.2	0	20796873	1	4.80841E-08
12.3	0	20796873	1	4.80841E-08
12.4	0	20796873	1	4.80841E-08
12.5	0	20796873	1	4.80841E-08
12.6	0	20796873	1	4.80841E-08
12.7	1	20796874	0	0
