#key	theor	matrix_sites_cv_loo	matrix_sites	sequence_set1	sequence_set1_2perm
-51.9	1.0e+00	<NULL>	<NULL>	1	<NULL>
-39.5	9.7e-01	1.00000	1.00000	0.975865	0.979971
-39.4	9.7e-01	1.00000	1.00000	0.975205	0.979293
-39.3	9.7e-01	1.00000	1.00000	0.974521	0.978613
-39.2	9.7e-01	1.00000	1.00000	0.973809	0.977877
-39.1	9.7e-01	1.00000	1.00000	0.973045	0.977151
-39	9.7e-01	1.00000	1.00000	0.972253	0.976378
-38.9	9.7e-01	1.00000	1.00000	0.97142	0.975585
-38.8	9.7e-01	1.00000	1.00000	0.970575	0.974765
-38.7	9.7e-01	1.00000	1.00000	0.969725	0.973946
-38.6	9.7e-01	1.00000	1.00000	0.968821	0.973063
-38.5	9.7e-01	1.00000	1.00000	0.96786	0.972137
-38.4	9.6e-01	1.00000	1.00000	0.966831	0.971175
-38.3	9.6e-01	1.00000	1.00000	0.965801	0.970164
-38.2	9.6e-01	1.00000	1.00000	0.964706	0.969122
-38.1	9.6e-01	1.00000	1.00000	0.963581	0.968031
-38	9.6e-01	1.00000	1.00000	0.96241	0.966938
-37.9	9.6e-01	1.00000	1.00000	0.961173	0.965748
-37.8	9.6e-01	1.00000	1.00000	0.959886	0.964558
-37.7	9.6e-01	1.00000	1.00000	0.958569	0.963272
-37.6	9.5e-01	1.00000	1.00000	0.957176	0.961983
-37.5	9.5e-01	1.00000	1.00000	0.955712	0.960634
-37.4	9.5e-01	1.00000	1.00000	0.95417	0.959242
-37.3	9.5e-01	1.00000	1.00000	0.952615	0.957782
-37.2	9.5e-01	1.00000	1.00000	0.950946	0.956275
-37.1	9.5e-01	1.00000	1.00000	0.949235	0.954742
-37	9.4e-01	1.00000	1.00000	0.947488	0.953162
-36.9	9.4e-01	1.00000	1.00000	0.945693	0.951483
-36.8	9.4e-01	1.00000	1.00000	0.94389	0.949743
-36.7	9.4e-01	1.00000	1.00000	0.942033	0.948015
-36.6	9.4e-01	1.00000	1.00000	0.940062	0.946273
-36.5	9.4e-01	1.00000	1.00000	0.938067	0.944441
-36.4	9.3e-01	1.00000	1.00000	0.936053	0.94257
-36.3	9.3e-01	1.00000	1.00000	0.934029	0.940645
